state,district,dem_cand,rep_cand,inc_seat,unopp,part_base,pr_dem,dem_mean,dem_q10,dem_q25,dem_q75,dem_q90
CO,4,I. MCCORKLE,K. BUCK,gop,0,0.38326,0,0.349,0.30493,0.32524,0.37201,0.39524
CO,5,D. TORRES,D. LAMBORN,gop,0,0.42539,0.03192,0.41636,0.36155,0.38604,0.44506,0.47262
CO,6,J. CROW,S. MONAHAN,dem,0,0.60113,0.97277,0.58373,0.52966,0.55665,0.61153,0.63726
CO,7,B. PETTERSEN,E. AADLAND,open,0,0.55072,0.70647,0.52747,0.46555,0.4942,0.55999,0.59099
CO,8,Y. CARAVEO,B. KIRKMEYER,open,0,0.49999,0.36496,0.48412,0.42272,0.45272,0.51534,0.54572
CT,1,J. LARSON,L. LAZOR,dem,0,0.62132,0.99442,0.6098,0.55728,0.58303,0.63707,0.66006
CT,2,J. COURTNEY,M. FRANCE,dem,0,0.5365,0.98281,0.59193,0.53922,0.56499,0.61983,0.64361
CT,3,R. DELAURO,L. DENARDIS,dem,0,0.58011,0.99442,0.60663,0.55358,0.58068,0.63361,0.6573
CT,4,J. HIMES,J. STEVENSON,dem,0,0.63517,0.98438,0.59466,0.54265,0.56831,0.62284,0.64588
CT,5,J. HAYES,G. LOGAN,dem,0,0.53191,0.7625,0.53033,0.47526,0.50168,0.55956,0.5855
DE,1,L. ROCHESTER,L. MURPHY,dem,0,0.57424,0.99018,0.5848,0.53911,0.56181,0.60838,0.63031
FL,1,R. JONES,M. GAETZ,gop,0,0.31442,0.00112,0.33312,0.28076,0.30431,0.35955,0.38745
FL,2,A. LAWSON,N. DUNN,gop,0,0.42448,0.01116,0.40739,0.36008,0.38202,0.43186,0.45571
FL,3,D. HAWK,K. CAMMACK,gop,0,0.4067,0.02098,0.40168,0.34463,0.3703,0.43174,0.46146
FL,4,L. HOLLOWAY,A. BEAN,open,0,0.44381,0.12299,0.44179,0.37815,0.40815,0.47405,0.50607
FL,5,,,open,0,0.39816,0.00424,0.40261,0.36,0.37988,0.42529,0.44668
FL,6,,M. WALTZ,gop,1,0.35796,0,,,,,
FL,7,K. GREEN,C. MILLS,open,0,0.45163,0.0904,0.43319,0.37196,0.40017,0.46599,0.49751
FL,8,J. TERRY,B. POSEY,gop,0,0.38903,0.00469,0.37369,0.32066,0.34386,0.40175,0.4291
FL,9,D. SOTO,S. MOORE,dem,0,0.566,0.92054,0.56141,0.50589,0.53406,0.58953,0.61614
FL,10,M. FROST,C. WIMBISH,open,0,0.6418,0.9933,0.61763,0.55904,0.5873,0.64819,0.67494
FL,11,S. MUNNS,D. WEBSTER,gop,0,0.42204,0.02344,0.40668,0.35194,0.37766,0.4347,0.46353
FL,12,K. WALKER,G. BILIRAKIS,gop,0,0.33526,0,0.30859,0.26624,0.28519,0.33069,0.35348
FL,13,E. LYNN,A. LUNA,open,0,0.44328,0.09531,0.43943,0.38202,0.40821,0.46906,0.49823
FL,14,K. CASTOR,J. JUDGE,dem,0,0.57406,0.94688,0.57052,0.51461,0.54277,0.5992,0.62495
FL,15,A. COHN,L. LEE,open,0,0.46376,0.10312,0.44537,0.38961,0.41614,0.47413,0.50127
