dem_seats,pr,cdf
188,0.0155,0.19
189,0.0175,0.20750000000000002
190,0.0185,0.226
191,0.016,0.242
192,0.023,0.265
193,0.022,0.28700000000000003
194,0.0315,0.3185
195,0.0275,0.34600000000000003
196,0.032,0.378
197,0.0275,0.4055
198,0.0225,0.42800000000000005
199,0.032,0.4600000000000001
200,0.031,0.4910000000000001
201,0.027,0.5180000000000001
202,0.027,0.5450000000000002
203,0.0275,0.5725000000000001
204,0.0325,0.6050000000000001
205,0.029,0.6340000000000001
206,0.024,0.6580000000000001
207,0.022,0.6800000000000002
208,0.025,0.7050000000000002
209,0.021,0.7260000000000002
210,0.017,0.7430000000000002
211,0.022,0.7650000000000002
212,0.022,0.7870000000000003
213,0.025,0.8120000000000003
214,0.019,0.8310000000000003
215,0.0175,0.8485000000000003
216,0.013,0.8615000000000003
217,0.015,0.8765000000000003
218,0.011,0.8875000000000003
219,0.0125,0.9000000000000002
220,0.011,0.9110000000000003
221,0.0075,0.9185000000000002
222,0.009,0.9275000000000002
223,0.0065,0.9340000000000002
224,0.007,0.9410000000000002
225,0.0065,0.9475000000000001
226,0.008,0.9555000000000001
227,0.005,0.9605000000000001
228,0.0055,0.9660000000000001
229,0.0025,0.9685
230,0.006,0.9745
231,0.0015,0.976
232,0.002,0.978
233,0.003,0.981
234,0.0025,0.9834999999999999
235,0.0035,0.9869999999999999
236,0.0015,0.9884999999999998
237,0.0015,0.9899999999999998
238,0,0.9899999999999998
239,5e-4,0.9904999999999997
240,0.001,0.9914999999999997
241,0.002,0.9934999999999997
242,0.001,0.9944999999999997
243,0.001,0.9954999999999997
244,0,0.9954999999999997
245,0,0.9954999999999997
246,0,0.9954999999999997
247,0.001,0.9964999999999997
248,0.001,0.9974999999999997
249,0,0.9974999999999997
250,0,0.9974999999999997
251,5e-4,0.9979999999999997
252,0.001,0.9989999999999997
253,0,0.9989999999999997
254,0,0.9989999999999997
255,0,0.9989999999999997
256,0,0.9989999999999997
257,0,0.9989999999999997
258,0,0.9989999999999997
259,0,0.9989999999999997
260,0,0.9989999999999997
261,0,0.9989999999999997
262,0,0.9989999999999997
263,0,0.9989999999999997
264,0,0.9989999999999997
265,0,0.9989999999999997
266,0,0.9989999999999997
267,0,0.9989999999999997
268,0,0.9989999999999997
269,0,0.9989999999999997
270,0,0.9989999999999997
271,5e-4,0.9994999999999996
272,0,0.9994999999999996
273,0,0.9994999999999996
274,0,0.9994999999999996
275,0,0.9994999999999996
276,0,0.9994999999999996
277,0,0.9994999999999996
278,0,0.9994999999999996
279,0,0.9994999999999996
280,0,0.9994999999999996
281,0,0.9994999999999996
282,0,0.9994999999999996
283,0,0.9994999999999996
284,0,0.9994999999999996
285,0,0.9994999999999996
286,0,0.9994999999999996
287,0,0.9994999999999996
288,0,0.9994999999999996
289,0,0.9994999999999996
290,0,0.9994999999999996
291,0,0.9994999999999996
292,0,0.9994999999999996
293,0,0.9994999999999996
294,0,0.9994999999999996
295,0,0.9994999999999996
296,0,0.9994999999999996
297,0,0.9994999999999996
298,0,0.9994999999999996
299,0,0.9994999999999996
300,0,0.9994999999999996
301,0,0.9994999999999996
302,0,0.9994999999999996
303,0,0.9994999999999996
304,0,0.9994999999999996
305,0,0.9994999999999996
306,0,0.9994999999999996
307,0,0.9994999999999996
308,0,0.9994999999999996
309,0,0.9994999999999996
310,0,0.9994999999999996
311,0,0.9994999999999996
312,0,0.9994999999999996
313,0,0.9994999999999996
314,0,0.9994999999999996
315,0,0.9994999999999996
316,0,0.9994999999999996
317,0,0.9994999999999996
318,0,0.9994999999999996
